pid,label,object_type,order,layout,collection,thumbnail,manifest,full
obj1,Michael Field Visualization,main visualization,00,michaelfield_item,michaelfield,"/img/derivatives/iiif/images/obj1/full/250,/0/default.jpg",/img/derivatives/iiif/obj1/manifest.json,""
obj2,Katharine Harris Bradley wreath,letter writer wreath,01,michaelfield_item,michaelfield,"/img/derivatives/iiif/images/obj2/full/250,/0/default.jpg",/img/derivatives/iiif/obj2/manifest.json,""
obj3,Edith Emma Cooper wreath,letter writer wreath,02,michaelfield_item,michaelfield,"/img/derivatives/iiif/images/obj3/full/250,/0/default.jpg",/img/derivatives/iiif/obj3/manifest.json,""
obj4,Michael Field wreath,letter writer wreath,03,michaelfield_item,michaelfield,"/img/derivatives/iiif/images/obj4/full/250,/0/default.jpg",/img/derivatives/iiif/obj4/manifest.json,""
obj5,Amy Katharine Cooper wreath,letter writer wreath,04,michaelfield_item,michaelfield,"/img/derivatives/iiif/images/obj5/full/250,/0/default.jpg",/img/derivatives/iiif/obj5/manifest.json,""
obj6,A.S. Murray wreath,letter writer wreath,05,michaelfield_item,michaelfield,"/img/derivatives/iiif/images/obj6/full/250,/0/default.jpg",/img/derivatives/iiif/obj6/manifest.json,""
obj7,Unknown wreath,letter writer wreath,06,michaelfield_item,michaelfield,"/img/derivatives/iiif/images/obj7/full/250,/0/default.jpg",/img/derivatives/iiif/obj7/manifest.json,""
obj8,LG wreath,letter writer wreath,07,michaelfield_item,michaelfield,"/img/derivatives/iiif/images/obj8/full/250,/0/default.jpg",/img/derivatives/iiif/obj8/manifest.json,""
obj9,Sarianna Browning wreath,letter writer wreath,08,michaelfield_item,michaelfield,"/img/derivatives/iiif/images/obj9/full/250,/0/default.jpg",/img/derivatives/iiif/obj9/manifest.json,""
obj10,Verina ???? wreath,letter writer wreath,09,michaelfield_item,michaelfield,"/img/derivatives/iiif/images/obj10/full/250,/0/default.jpg",/img/derivatives/iiif/obj10/manifest.json,""
obj11,Randall Thor Alderton wreath,letter writer wreath,10,michaelfield_item,michaelfield,"/img/derivatives/iiif/images/obj11/full/250,/0/default.jpg",/img/derivatives/iiif/obj11/manifest.json,""
obj12,Francis Brooks wreath,letter writer wreath,11,michaelfield_item,michaelfield,"/img/derivatives/iiif/images/obj12/full/250,/0/default.jpg",/img/derivatives/iiif/obj12/manifest.json,""
obj13,Gordon Bottomley wreath,letter writer wreath,12,michaelfield_item,michaelfield,"/img/derivatives/iiif/images/obj13/full/250,/0/default.jpg",/img/derivatives/iiif/obj13/manifest.json,""
obj14,Harrich ???? wreath,letter writer wreath,13,michaelfield_item,michaelfield,"/img/derivatives/iiif/images/obj14/full/250,/0/default.jpg",/img/derivatives/iiif/obj14/manifest.json,""
obj15,Lisa ???? wreath,letter writer wreath,14,michaelfield_item,michaelfield,"/img/derivatives/iiif/images/obj15/full/250,/0/default.jpg",/img/derivatives/iiif/obj15/manifest.json,""
obj16,Rev. John Gray wreath,letter writer wreath,15,michaelfield_item,michaelfield,"/img/derivatives/iiif/images/obj16/full/250,/0/default.jpg",/img/derivatives/iiif/obj16/manifest.json,""
obj17,???? Doubleday wreath,letter writer wreath,16,michaelfield_item,michaelfield,"/img/derivatives/iiif/images/obj17/full/250,/0/default.jpg",/img/derivatives/iiif/obj17/manifest.json,""
obj18,Rev. Vincent M. Nabb wreath,letter writer wreath,17,michaelfield_item,michaelfield,"/img/derivatives/iiif/images/obj18/full/250,/0/default.jpg",/img/derivatives/iiif/obj18/manifest.json,""
obj19,Emily and Gordon Bottomley wreath,letter writer wreath,18,michaelfield_item,michaelfield,"/img/derivatives/iiif/images/obj19/full/250,/0/default.jpg",/img/derivatives/iiif/obj19/manifest.json,""
obj20,W. Greene wreath,letter writer wreath,19,michaelfield_item,michaelfield,"/img/derivatives/iiif/images/obj20/full/250,/0/default.jpg",/img/derivatives/iiif/obj20/manifest.json,""
obj21,Sir William Rothenstein wreath,letter writer wreath,20,michaelfield_item,michaelfield,"/img/derivatives/iiif/images/obj21/full/250,/0/default.jpg",/img/derivatives/iiif/obj21/manifest.json,""
obj22,Emily Comber Fortey wreath,letter writer wreath,21,michaelfield_item,michaelfield,"/img/derivatives/iiif/images/obj22/full/250,/0/default.jpg",/img/derivatives/iiif/obj22/manifest.json,""
obj23,Charles de Sousy Ricketts wreath,letter writer wreath,22,michaelfield_item,michaelfield,"/img/derivatives/iiif/images/obj23/full/250,/0/default.jpg",/img/derivatives/iiif/obj23/manifest.json,""
obj24,Mary Pearsall Costelloe wreath,letter writer wreath,23,michaelfield_item,michaelfield,"/img/derivatives/iiif/images/obj24/full/250,/0/default.jpg",/img/derivatives/iiif/obj24/manifest.json,""
obj25,Flower Dictionary for Main Visualization,flower dictionary,24,michaelfield_item,michaelfield,"/img/derivatives/iiif/images/obj25/full/250,/0/default.jpg",/img/derivatives/iiif/obj25/manifest.json,"/img/derivatives/iiif/images/obj25/full/1140,/0/default.jpg"
